document_id	Title	Authors	Year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
69	Industrial Buyer Evaluation of the Ethics of Salesperson Gift Giving; Value of the Gift and Customer vs. Prospect Status	"I. Fredrick Trawick, John E. Swan and David Rink"	1989	0.00000000	0.13282679	0.68772382	0.02094392	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.15756766	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
70	Career Plateaus in the Salesforce: Understanding and Removing Blockages to EmployeeGrowth	Daniel C. Feldman and Barton A. Weitz	1988	0.04236317	0.00000000	0.09745029	0.00000000	0.49111068	0.00000000	0.00000000	0.04261957	0.00000000	0.00000000	0.03942516	0.07773560	0.00000000	0.14369003	0.06515696	0.00000000	0.00000000
71	Increasing Sales Productivity through Improved Sales Call Allocation Strategies	"Raymond W. LaForge, Clifford E. Young and B. Curtis Hamm"	1983	0.68891054	0.00000000	0.00000000	0.03568213	0.00000000	0.00000000	0.08813473	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.18621747	0.00000000	0.00000000	0.00000000
72	Managing Sales Performance through a Comprehensive Performance Appraisal System	Jan P. Muczyk and Myron Gable	1987	0.00000000	0.00000000	0.11561935	0.00000000	0.00000000	0.00000000	0.02625358	0.00000000	0.00000000	0.17064866	0.00000000	0.00000000	0.00000000	0.65463018	0.02543391	0.00000000	0.00000000
73	The Use Of Human Judgment Models In Evaluating Sales Force Performance	"W. E. Patton, III and Ronald H. King"	1985	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.14920527	0.00000000	0.00000000	0.00000000	0.84822160	0.00000000	0.00000000	0.00000000
74	Industrial Salesforce Motivation and Herzberg's Dual Factor Theory: A UK Perspective	David D. Shipley and Julia A. Kiely	1986	0.00000000	0.00000000	0.00000000	0.00000000	0.47447282	0.00000000	0.00000000	0.00000000	0.00000000	0.01694356	0.00000000	0.15637021	0.02686729	0.32448366	0.00000000	0.00000000	0.00000000
75	A Framework for Classifying Concepts of and Research on the Personal Selling Process	Robert A. Reeves and Hiram C. Barksdale	1984	0.19178577	0.05946684	0.00000000	0.00000000	0.00000000	0.02114248	0.14279900	0.00000000	0.04323347	0.49971828	0.00000000	0.01184841	0.00000000	0.02954981	0.00000000	0.00000000	0.00000000
76	A Classification of Industrial Buyers: Implications for Sales Training	Alan J. Dubinsky and Thomas N. Ingram	1981	0.00000000	0.20147397	0.01850022	0.37688258	0.00000000	0.00000000	0.05838300	0.00000000	0.00000000	0.12693073	0.00000000	0.00000000	0.00000000	0.21683329	0.00000000	0.00000000	0.00000000
77	Mastering Inquiries And Sales Leads	Robert H. Collins	1989	0.00000000	0.00000000	0.00000000	0.98829967	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
78	"The Use Of An ""Expert"" To Train Salespeople"	"Arlyn R. Rubash, Rawlie R. Sullivan and Paul H. Herzog"	1987	0.03774396	0.00000000	0.00000000	0.48683006	0.00000000	0.00000000	0.00000000	0.08215442	0.00000000	0.37265977	0.00000000	0.00000000	0.00000000	0.01992233	0.00000000	0.00000000	0.00000000
79	"Type A Behavior, Experience, And Salesperson Performance"	"Kenneth R. Bartkus, Mark F. Peterson and Danny N. Bellenger"	1989	0.09140074	0.00000000	0.10261089	0.00000000	0.21229629	0.00000000	0.22247592	0.00000000	0.00000000	0.00000000	0.00000000	0.11356349	0.00000000	0.00000000	0.15371281	0.00000000	0.09973135
80	Effective Major Account Sales Management	Jerome A. Colletti and Gary S. Tubridy	1987	0.00000000	0.00000000	0.00000000	0.87116778	0.01695475	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.11115538	0.00000000	0.00000000	0.00000000
81	Industrial Salesforce Motivation: A Critique and Test of Maslow's Hierarchy of Need	"Robert L. Berl, Nicholas C. Williamson and Terry Powell"	1984	0.02982443	0.00000000	0.07765619	0.00000000	0.24949950	0.00000000	0.47969016	0.00000000	0.00000000	0.06598100	0.00000000	0.03004873	0.03616350	0.03036983	0.00000000	0.00000000	0.00000000
82	Artificial Intelligence in Personal Selling	Robert H. Collins	1984	0.00000000	0.00000000	0.00000000	0.54336250	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.45494643	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
83	The Selling Of Services: A Comprehensive Model	"William R. George, J. Patrick Kelly and Claudia E. Marshall"	1986	0.00000000	0.00000000	0.00000000	0.69937843	0.00000000	0.00000000	0.00000000	0.01146867	0.00000000	0.08160085	0.04803272	0.00000000	0.07446095	0.07826033	0.00000000	0.00000000	0.00000000
84	The Impact Of Incentive Compensation On The Salesperson's Work Habits: An Economicmodel	RenŽ Y. Darmon	1987	0.92216432	0.00000000	0.00000000	0.00000000	0.07687205	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
85	Examining the Roles of Telemarketing in Selling Strategy	"William C. Moncrief, Shannon H. Shipp, Charles W. Lamb, Jr. and David W.Cravens"	1989	0.03801383	0.00000000	0.00000000	0.85205674	0.03874741	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.07018465	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
86	Identifying Profit-producing Salesforce Members	"Darmon, R. Y."	1982	0.65597159	0.00000000	0.01218449	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.07200646	0.00000000	0.00000000	0.00000000	0.25896201	0.00000000	0.00000000	0.00000000
87	Sales Managers' Goal Commitment Correlates	"Oliver, R. L., & Brief, A. P."	1983	0.00000000	0.00000000	0.00000000	0.00000000	0.38631716	0.00000000	0.35011333	0.00000000	0.00000000	0.00000000	0.00000000	0.25382745	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
